,name,y_pred,y_true
0,data\frames\test_data\images\seq_001601.jpg,29.09075927734375,29.961383819580078
1,data\frames\test_data\images\seq_001602.jpg,29.06033706665039,28.945648193359375
2,data\frames\test_data\images\seq_001603.jpg,29.06174087524414,28.988513946533203
3,data\frames\test_data\images\seq_001604.jpg,29.054901123046875,32.92991256713867
4,data\frames\test_data\images\seq_001605.jpg,29.143842697143555,31.0207462310791
5,data\frames\test_data\images\seq_001606.jpg,29.203258514404297,33.58222198486328
6,data\frames\test_data\images\seq_001607.jpg,29.143537521362305,33.566463470458984
7,data\frames\test_data\images\seq_001608.jpg,29.108020782470703,34.510196685791016
8,data\frames\test_data\images\seq_001609.jpg,29.005149841308594,30.946796417236328
9,data\frames\test_data\images\seq_001610.jpg,29.045503616333008,28.817127227783203
10,data\frames\test_data\images\seq_001611.jpg,28.967266082763672,27.669836044311523
11,data\frames\test_data\images\seq_001612.jpg,28.98456573486328,26.47907066345215
12,data\frames\test_data\images\seq_001613.jpg,28.95348358154297,29.885406494140625
13,data\frames\test_data\images\seq_001614.jpg,28.868579864501953,30.998516082763672
14,data\frames\test_data\images\seq_001615.jpg,28.953140258789062,28.892776489257812
15,data\frames\test_data\images\seq_001616.jpg,28.954586029052734,31.99134635925293
16,data\frames\test_data\images\seq_001617.jpg,29.091156005859375,35.27680587768555
17,data\frames\test_data\images\seq_001618.jpg,29.075481414794922,34.853816986083984
18,data\frames\test_data\images\seq_001619.jpg,28.985916137695312,36.15114974975586
19,data\frames\test_data\images\seq_001620.jpg,28.951873779296875,29.977209091186523
20,data\frames\test_data\images\seq_001621.jpg,29.007789611816406,31.985980987548828
21,data\frames\test_data\images\seq_001622.jpg,28.95798683166504,32.833736419677734
22,data\frames\test_data\images\seq_001623.jpg,28.96048355102539,36.644283294677734
23,data\frames\test_data\images\seq_001624.jpg,29.076858520507812,36.933074951171875
24,data\frames\test_data\images\seq_001625.jpg,29.08246612548828,32.833457946777344
25,data\frames\test_data\images\seq_001626.jpg,29.05345916748047,39.46800231933594
26,data\frames\test_data\images\seq_001627.jpg,29.116657257080078,41.56048583984375
27,data\frames\test_data\images\seq_001628.jpg,29.03468132019043,42.78874588012695
28,data\frames\test_data\images\seq_001629.jpg,28.921314239501953,40.96299743652344
29,data\frames\test_data\images\seq_001630.jpg,28.939682006835938,40.534481048583984
30,data\frames\test_data\images\seq_001631.jpg,29.002748489379883,42.76422119140625
31,data\frames\test_data\images\seq_001632.jpg,29.032588958740234,41.700462341308594
